"","O.Rank","School","D.Rank"
"1",1,"Ohio State",1
"2",2,"Oklahoma",49
"3",3,"Alabama",16
"4",4,"LSU",36
"5",5,"Clemson",3
"6",6,"SMU",106
"7",7,"UCF",43
"8",8,"Memphis",54
"9",9,"Navy",15
"10",10,"Washington State",86
"11",11,"Louisiana",11
"12",12,"Oregon",10
"13",13,"Louisiana Tech",39
"14",14,"Texas",91
"15",15,"Minnesota",26
"16",16,"Hawaii",124
"17",17,"Oklahoma State",81
"18",18,"Penn State",5
"19",19,"Appalachian State",18
"20",20,"Iowa State",48
"21",21,"Tulane",52
"22",22,"Troy",99
"23",23,"Georgia State",121
"24",24,"Western Michigan",61
"25",25,"Wake Forest",56
"26",26,"Boise State",38
"27",27,"Baylor",17
"28",28,"Air Force",29
"29",29,"Texas A&M",34
"30",30,"Fresno State",103
"31",31,"Wisconsin",7
"32",32,"Arkansas State",120
"33",33,"Notre Dame",21
"34",34,"Indiana",23
"35",35,"Boston College",98
"36",36,"Georgia",2
"37",37,"Florida Atlantic",46
"38",38,"Florida",9
"39",39,"Washington",33
"40",40,"North Texas",113
"41",41,"Utah",6
"42",42,"Arizona",126
"43",43,"Ball State",80
"44",44,"Liberty",59
"45",45,"Auburn",13
"46",46,"Cincinnati",31
"47",47,"Kansas State",32
"48",48,"Texas Christian",57
"49",49,"Louisville",111
"50",50,"Michigan",12
"51",51,"Charlotte",117
"52",52,"Colorado State",96
"53",53,"Texas Tech",71
"54",54,"Virginia",37
"55",55,"San Jose State",108
"56",56,"Houston",105
"57",57,"Illinois",53
"58",58,"Oregon State",93
"59",59,"Louisiana-Monroe",127
"60",60,"USC",73
"61",61,"Coastal Carolina",87
"62",62,"Central Michigan",62
"63",63,"Southern Mississippi",55
"64",64,"Ohio",84
"65",65,"Virginia Tech",65
"66",66,"Miami (FL)",20
"67",67,"UCLA",97
"68",68,"Toledo",77
"69",69,"Mississippi State",88
"70",70,"Army",30
"71",71,"Florida State",78
"72",72,"Missouri",19
"73",73,"Utah State",67
"74",74,"Buffalo",41
"75",75,"Maryland",112
"76",76,"Eastern Michigan",95
"77",77,"North Carolina",68
"78",78,"Wyoming",14
"79",79,"Duke",64
"80",80,"East Carolina",109
"81",81,"Temple",51
"82",82,"Nebraska",79
"83",83,"Marshall",45
"84",84,"Ole Miss",44
"85",85,"Brigham Young",66
"86",86,"Florida International",58
"87",87,"South Carolina",47
"88",88,"Kansas",110
"89",89,"Kent State",92
"90",90,"Tulsa",107
"91",91,"Georgia Southern",82
"92",92,"Middle Tennessee State",94
"93",93,"Miami (OH)",76
"94",94,"Western Kentucky",24
"95",95,"Colorado",102
"96",96,"Purdue",69
"97",97,"UAB",22
"98",98,"Iowa",4
"99",99,"Syracuse",90
"100",100,"Northern Illinois",70
"101",101,"South Florida",63
"102",102,"Tennessee",40
"103",103,"Arizona State",35
"104",104,"UNLV",114
"105",105,"New Mexico",119
"106",106,"North Carolina State",75
"107",107,"Michigan State",42
"108",108,"Arkansas",122
"109",109,"Pitt",28
"110",110,"Stanford",60
"111",111,"West Virginia",100
"112",112,"San Diego State",8
"113",113,"Massachusetts",130
"114",114,"Kentucky",27
"115",115,"UTEP",118
"116",116,"UTSA",101
"117",117,"California",25
"118",118,"Nevada",104
"119",119,"Connecticut",128
"120",120,"Georgia Tech",83
"121",121,"Texas State",85
"122",122,"New Mexico State",129
"123",123,"Bowling Green State",115
"124",124,"South Alabama",89
"125",125,"Old Dominion",74
"126",126,"Vanderbilt",116
"127",127,"Rice",72
"128",128,"Rutgers",125
"129",129,"Northwestern",50
"130",130,"Akron",123
